id,title,overview,genres,vote_average,vote_count,popularity,poster_path
1233069,Exterritorial,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.","53,28",6.7,208,599.2458,/jM2uqCZNKbiyStyzXOERpMqAbdx.jpg
986056,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.","28,12,878",7.5,563,435.3441,/m9EtP1Yrzv6v7dMaC9mRaGhd1um.jpg
1197306,A Working Man,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","28,80,53",6.492,583,402.9092,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg
1241436,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","10752,28",7.125,116,426.9579,/j8tqBXwH2PxBPzbtO19BTF9Ukbf.jpg
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","10751,35,12,14",6.181,833,297.989,/iPPTGh2OXuIv6d7cwuoPkw8govp.jpg
668489,Havoc,"When a drug heist swerves lethally out of control, a jaded cop fights his way through a corrupt city's criminal underworld to save a politician's son.","28,80,53",6.565,534,273.9026,/r46leE6PSzLR3pnVzaxx5Q30yUF.jpg
710258,Rust,"Infamous outlaw Harland Rust breaks his estranged grandson Lucas out of prison, after Lucas is convicted to hang for an accidental murder. The two must outrun legendary U.S Marshal Wood Helm and bounty hunter Fenton ""Preacher"" Lang who are hot on their tails. Deeply buried secrets rise from the ashes and an unexpected familial bond begins to form as the mismatched duo tries to survive the merciless American Frontier.",37,6.4,32,307.363,/tbJ3RkA2s6X5qrBzrYHYTxvDBui.jpg
37135,Tarzan,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...","10751,12,16,18",7.396,6923,267.5949,/bTvHlcqiOjGa3lFtbrTLTM3zasY.jpg
497698,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.","28,12,878",7.208,10504,165.6691,/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg
1153714,Death of a Unicorn,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature’s miraculous curative properties.","27,14,35,12",6.4,165,218.0482,/lXR32JepFwD1UHkplWqtBP1K79z.jpg
822119,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","28,53,878",6.153,1746,228.0987,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg
299537,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","28,12,878",6.802,16012,148.9079,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg
